latitude,longitude,country_name,country_code,region_code,city,cve_id,epss,cvss_version
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2007-4723,0.00132,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-0796,0.26877,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-1390,0.00435,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-1390,0.00435,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-1390,0.00435,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-1390,0.00435,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-1390,0.00435,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-1390,0.00435,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-1390,0.00435,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-1390,0.00435,2
42.44063,-76.49661,United States,US,NY,Ithaca,CVE-2009-1390,0.00435,2
